,"Bernard ""Bernie"" Sanders",Donald J. Trump,Evan McMullin,GEO_ID,Gary Johnson,"Gloria Estela
 La Riva",Hillary Clinton,"Jerry
 White","Jill 
Stein",Laurence Kotlikoff,Mike Maturen,S1903_C01_001E,S1903_C01_001M,S1903_C01_002E,S1903_C01_002M,S1903_C01_003E,S1903_C01_003M,S1903_C01_004E,S1903_C01_004M,S1903_C01_005E,S1903_C01_005M,S1903_C01_006E,S1903_C01_006M,S1903_C01_007E,S1903_C01_007M,S1903_C01_008E,S1903_C01_008M,S1903_C01_009E,S1903_C01_009M,S1903_C01_010E,S1903_C01_010M,S1903_C01_011E,S1903_C01_011M,S1903_C01_012E,S1903_C01_012M,S1903_C01_013E,S1903_C01_013M,S1903_C01_014E,S1903_C01_014M,S1903_C01_015E,S1903_C01_015M,S1903_C01_016E,S1903_C01_016M,S1903_C01_017E,S1903_C01_017M,S1903_C01_018E,S1903_C01_018M,S1903_C01_019E,S1903_C01_019M,S1903_C01_020E,S1903_C01_020M,S1903_C01_021E,S1903_C01_021M,S1903_C01_022E,S1903_C01_022M,S1903_C01_023E,S1903_C01_023M,S1903_C01_024E,S1903_C01_024M,S1903_C01_025E,S1903_C01_025M,S1903_C01_026E,S1903_C01_026M,S1903_C01_027E,S1903_C01_027M,S1903_C01_028E,S1903_C01_028M,S1903_C01_029E,S1903_C01_029M,S1903_C01_030E,S1903_C01_030M,S1903_C01_031E,S1903_C01_031M,S1903_C01_032E,S1903_C01_032M,S1903_C01_033E,S1903_C01_033M,S1903_C01_034E,S1903_C01_034M,S1903_C01_035E,S1903_C01_035M,S1903_C01_036E,S1903_C01_036M,S1903_C01_037E,S1903_C01_037M,S1903_C01_038E,S1903_C01_038M,S1903_C01_039E,S1903_C01_039M,S1903_C01_040E,S1903_C01_040M,S1903_C02_001E,S1903_C02_001M,S1903_C02_002E,S1903_C02_002M,S1903_C02_003E,S1903_C02_003M,S1903_C02_004E,S1903_C02_004M,S1903_C02_005E,S1903_C02_005M,S1903_C02_006E,S1903_C02_006M,S1903_C02_007E,S1903_C02_007M,S1903_C02_008E,S1903_C02_008M,S1903_C02_009E,S1903_C02_009M,S1903_C02_010E,S1903_C02_010M,S1903_C02_011E,S1903_C02_011M,S1903_C02_012E,S1903_C02_012M,S1903_C02_013E,S1903_C02_013M,S1903_C02_014E,S1903_C02_014M,S1903_C02_015E,S1903_C02_015M,S1903_C02_016E,S1903_C02_016M,S1903_C02_017E,S1903_C02_017M,S1903_C02_018E,S1903_C02_018M,S1903_C02_019E,S1903_C02_019M,S1903_C02_020E,S1903_C02_020M,S1903_C02_021E,S1903_C02_021M,S1903_C02_022E,S1903_C02_022M,S1903_C02_023E,S1903_C02_023M,S1903_C02_024E,S1903_C02_024M,S1903_C02_025E,S1903_C02_025M,S1903_C02_026E,S1903_C02_026M,S1903_C02_027E,S1903_C02_027M,S1903_C02_028E,S1903_C02_028M,S1903_C02_029E,S1903_C02_029M,S1903_C02_030E,S1903_C02_030M,S1903_C02_031E,S1903_C02_031M,S1903_C02_032E,S1903_C02_032M,S1903_C02_033E,S1903_C02_033M,S1903_C02_034E,S1903_C02_034M,S1903_C02_035E,S1903_C02_035M,S1903_C02_036E,S1903_C02_036M,S1903_C02_037E,S1903_C02_037M,S1903_C02_038E,S1903_C02_038M,S1903_C02_039E,S1903_C02_039M,S1903_C02_040E,S1903_C02_040M,S1903_C03_001E,S1903_C03_001M,S1903_C03_002E,S1903_C03_002M,S1903_C03_003E,S1903_C03_003M,S1903_C03_004E,S1903_C03_004M,S1903_C03_005E,S1903_C03_005M,S1903_C03_006E,S1903_C03_006M,S1903_C03_007E,S1903_C03_007M,S1903_C03_008E,S1903_C03_008M,S1903_C03_009E,S1903_C03_009M,S1903_C03_010E,S1903_C03_010M,S1903_C03_011E,S1903_C03_011M,S1903_C03_012E,S1903_C03_012M,S1903_C03_013E,S1903_C03_013M,S1903_C03_014E,S1903_C03_014M,S1903_C03_015E,S1903_C03_015M,S1903_C03_016E,S1903_C03_016M,S1903_C03_017E,S1903_C03_017M,S1903_C03_018E,S1903_C03_018M,S1903_C03_019E,S1903_C03_019M,S1903_C03_020E,S1903_C03_020M,S1903_C03_021E,S1903_C03_021M,S1903_C03_022E,S1903_C03_022M,S1903_C03_023E,S1903_C03_023M,S1903_C03_024E,S1903_C03_024M,S1903_C03_025E,S1903_C03_025M,S1903_C03_026E,S1903_C03_026M,S1903_C03_027E,S1903_C03_027M,S1903_C03_028E,S1903_C03_028M,S1903_C03_029E,S1903_C03_029M,S1903_C03_030E,S1903_C03_030M,S1903_C03_031E,S1903_C03_031M,S1903_C03_032E,S1903_C03_032M,S1903_C03_033E,S1903_C03_033M,S1903_C03_034E,S1903_C03_034M,S1903_C03_035E,S1903_C03_035M,S1903_C03_036E,S1903_C03_036M,S1903_C03_037E,S1903_C03_037M,S1903_C03_038E,S1903_C03_038M,S1903_C03_039E,S1903_C03_039M,S1903_C03_040E,S1903_C03_040M,winner
San Joaquin,1372.0,88936.0,617.0,0500000US06077,8049.0,903.0,121124.0,0.0,3134.0,5.0,26.0,226727,913,140899,1336,18003,504,1526,231,29560,628,1055,134,18605,951,17079,1040,74415,887,97343,1011,7266,560,81084,1137,89835,1004,48542,804,168502,1653,83489,1437,85013,1401,117049,1486,56859,1270,34796,1213,18854,967,16657,792,7776,596,59413,1231,35948,1258,34536,1155,21930,842,9558,788,7117,610,22194,931,61061,1566,61457,1492,23790,869,58225,1585,30726,1027,25705,910,5021,479,27499,1007,20288,981,7211,618,226727,913,62.1,0.5,7.9,0.2,0.7,0.1,13.0,0.3,0.5,0.1,8.2,0.4,7.5,0.5,32.8,0.4,42.9,0.4,3.2,0.2,35.8,0.5,39.6,0.4,21.4,0.4,168502,1653,49.5,0.7,50.5,0.7,69.5,0.7,33.7,0.7,20.7,0.7,11.2,0.5,9.9,0.5,4.6,0.4,35.3,0.6,21.3,0.7,20.5,0.6,13.0,0.5,5.7,0.5,4.2,0.4,13.2,0.5,36.2,0.9,36.5,0.8,14.1,0.5,58225,1585,52.8,1.1,44.1,1.1,8.6,0.8,47.2,1.1,34.8,1.4,12.4,1.0,61145,1022,64084,922,41397,2588,53659,4824,73806,3503,82476,9712,49862,2089,54308,2397,52196,1361,71215,1680,36912,3397,61770,1699,72691,1433,44864,1381,69008,1122,63293,1282,74700,1733,85392,1278,84237,1586,35000,1531,25499,2123,53398,2340,46731,4254,61064,1782,65965,2970,75184,3216,78615,4474,75985,5540,80974,4730,31145,1555,48319,1575,91450,2157,110960,3149,33567,1284,28332,1223,24628,1335,56102,6760,41441,1827,34438,2179,69816,8310,
San Luis Obispo,1273.0,56164.0,702.0,0500000US06079,6473.0,425.0,67107.0,1.0,2848.0,3.0,13.0,105317,1020,95491,1067,1206,273,741,161,2533,209,23,37,2720,361,2603,370,16911,577,82215,913,6902,594,27455,617,38569,758,32391,549,66580,1037,23925,840,42655,921,52918,1014,16987,706,8922,684,4506,618,4740,543,2432,339,36725,1087,12255,698,10588,698,4649,541,1493,278,870,219,12332,548,21184,984,27011,1096,6053,460,38737,1062,20566,762,15544,744,5022,498,18171,691,11983,596,6188,497,105317,1020,90.7,0.6,1.1,0.3,0.7,0.2,2.4,0.2,0.0,0.1,2.6,0.3,2.5,0.4,16.1,0.5,78.1,0.6,6.6,0.5,26.1,0.6,36.6,0.6,30.8,0.6,66580,1037,35.9,1.1,64.1,1.1,79.5,1.3,25.5,1.0,13.4,1.0,6.8,0.9,7.1,0.8,3.7,0.5,55.2,1.3,18.4,1.0,15.9,1.0,7.0,0.8,2.2,0.4,1.3,0.3,18.5,0.8,31.8,1.4,40.6,1.4,9.1,0.7,38737,1062,53.1,1.3,40.1,1.6,13.0,1.2,46.9,1.3,30.9,1.3,16.0,1.2,70699,1500,71573,1654,55613,7491,71964,22437,67138,7103,-,**,55909,11124,81394,16933,57053,3044,74368,1759,20848,4231,76530,2359,87549,3371,60496,2854,88636,2490,79740,4757,92391,2690,100419,2158,102170,3496,43903,3725,33090,4032,56512,6334,50536,6605,82189,3226,92035,6860,97447,7052,99339,6459,93247,17111,111889,22072,61810,4410,69554,4108,106945,2902,130098,7937,41730,1455,35927,2451,31618,1384,55588,4083,49672,3451,43281,2913,61242,5045,
San Mateo,2159.0,57929.0,760.0,0500000US06081,9464.0,1047.0,237882.0,3.0,5102.0,15.0,23.0,261969,1067,153219,1263,6704,453,953,171,69604,832,2164,273,20705,932,8620,648,47193,879,129677,907,4840,471,86038,1069,105596,1281,65495,928,183144,1474,78533,1163,104611,1312,143990,1818,63669,1240,26986,1018,10953,694,12168,745,3911,442,73626,1274,43694,1338,40784,1159,15632,764,5736,530,3672,360,17304,666,52413,1101,84782,1482,28645,1092,78825,1466,42985,1067,33839,881,9146,644,35840,930,25695,777,10145,640,261969,1067,58.5,0.4,2.6,0.2,0.4,0.1,26.6,0.3,0.8,0.1,7.9,0.3,3.3,0.2,18.0,0.3,49.5,0.3,1.8,0.2,32.8,0.4,40.3,0.5,25.0,0.3,183144,1474,42.9,0.5,57.1,0.5,78.6,0.7,34.8,0.6,14.7,0.6,6.0,0.4,6.6,0.4,2.1,0.2,40.2,0.6,23.9,0.7,22.3,0.6,8.5,0.4,3.1,0.3,2.0,0.2,9.4,0.4,28.6,0.6,46.3,0.7,15.6,0.6,78825,1466,54.5,0.9,42.9,0.9,11.6,0.8,45.5,0.9,32.6,0.9,12.9,0.7,113776,1672,118968,2317,62292,5952,76016,26489,132109,4012,77643,13606,70128,5208,108663,9259,76655,2563,128187,1954,61116,9131,133755,2895,131356,4119,72877,2410,132732,1634,149169,3208,123209,2059,154745,2225,173693,4413,69562,3516,51590,7247,84875,5520,78262,14762,116069,2366,134492,4381,164059,4091,141701,4288,125899,10067,131833,9436,58834,3693,101783,3561,168708,2738,149783,4487,71780,2362,63831,1941,51345,2334,121235,5777,81076,3914,64994,3944,136408,12881,
Santa Barbara,1366.0,56365.0,733.0,0500000US06083,6748.0,693.0,107142.0,1.0,3719.0,1.0,18.0,144962,885,118575,1094,2595,284,1303,224,7020,421,167,96,10472,754,4830,415,48227,888,83497,892,9507,664,44429,991,51516,689,39510,637,95270,1048,42395,905,52875,1083,71080,1207,29627,845,16447,764,8809,574,7743,531,3959,422,40108,973,19757,873,17479,821,10000,627,4094,488,3832,378,12291,524,29100,931,39272,1202,14607,781,49692,1095,27533,823,20344,780,7189,641,22159,895,13926,723,8233,605,144962,885,81.8,0.6,1.8,0.2,0.9,0.2,4.8,0.3,0.1,0.1,7.2,0.5,3.3,0.3,33.3,0.5,57.6,0.6,6.6,0.4,30.6,0.6,35.5,0.5,27.3,0.4,95270,1048,44.5,0.9,55.5,0.9,74.6,0.8,31.1,0.8,17.3,0.8,9.2,0.6,8.1,0.6,4.2,0.4,42.1,0.9,20.7,0.8,18.3,0.8,10.5,0.7,4.3,0.5,4.0,0.4,12.9,0.5,30.5,1.0,41.2,1.1,15.3,0.8,49692,1095,55.4,1.3,40.9,1.3,14.5,1.3,44.6,1.3,28.0,1.3,16.6,1.1,71657,1476,74185,1512,54340,8975,48340,4913,76129,9970,84805,74690,54301,4807,66357,6358,56780,1879,84085,1855,35941,4218,71048,2576,89853,3030,59902,1943,81049,2034,69139,3184,91046,2788,96953,1874,90613,2391,40193,2010,33031,2522,60044,10059,50633,7482,82500,3848,80882,3387,83708,5108,69440,4435,78298,3319,93709,4244,52630,3666,54989,2639,97162,2795,106365,5756,47279,1953,41103,1780,35644,1757,63628,5678,54991,3256,45284,5107,76845,8127,
Santa Clara,4066.0,144826.0,2296.0,0500000US06085,25325.0,2759.0,511684.0,3.0,12664.0,25.0,61.0,635525,1810,327595,2036,16444,626,3007,327,219251,1360,2196,257,47379,1321,19653,1004,120112,1399,262475,1419,15350,737,236905,1691,250626,1405,132644,1230,456440,2710,213085,2244,243355,2382,361880,2974,173500,2291,63176,1506,27346,1069,31384,1059,12239,760,170433,2210,111329,2385,105628,1853,41098,1331,15714,792,12238,626,43736,1004,143643,2180,201432,2542,67629,1468,179085,2326,88343,1599,68971,1382,19372,988,90742,1617,61895,1458,28847,1100,635525,1810,51.5,0.3,2.6,0.1,0.5,0.1,34.5,0.2,0.3,0.1,7.5,0.2,3.1,0.2,18.9,0.2,41.3,0.2,2.4,0.1,37.3,0.2,39.4,0.2,20.9,0.2,456440,2710,46.7,0.4,53.3,0.4,79.3,0.4,38.0,0.4,13.8,0.3,6.0,0.2,6.9,0.2,2.7,0.2,37.3,0.4,24.4,0.5,23.1,0.4,9.0,0.3,3.4,0.2,2.7,0.1,9.6,0.2,31.5,0.4,44.1,0.5,14.8,0.3,179085,2326,49.3,0.6,38.5,0.6,10.8,0.5,50.7,0.6,34.6,0.7,16.1,0.6,116178,938,114827,1689,74284,3580,76886,10264,138903,1505,93391,14079,68787,2031,107453,4478,75313,1746,126093,1129,51953,4992,133276,1250,134014,1653,64213,1311,131554,1098,145339,2563,121928,1335,152859,1212,169143,2082,61437,1913,48133,2558,79799,2970,72752,6923,109720,2205,138667,2065,160073,1816,130552,5220,125616,7377,132237,6827,47726,2156,104472,1544,168911,1842,156427,2518,72124,1511,56049,1720,44465,1946,116799,5464,90642,2376,72450,2694,136781,5970,
Santa Cruz,1395.0,22438.0,283.0,0500000US06087,4325.0,627.0,95249.0,5.0,4485.0,4.0,10.0,95756,961,79146,1015,840,158,589,180,3884,283,84,73,8145,607,3068,361,22077,604,66739,822,3761,418,25981,722,40008,576,26006,507,61058,1194,24883,828,36175,1088,46535,1199,18086,849,10089,690,4543,559,4434,447,2254,346,28334,1097,12521,752,11832,653,4873,460,1946,288,1552,338,7770,544,18967,830,25799,1080,8522,585,34698,1079,18601,766,13805,757,4796,558,16097,796,10781,675,5316,631,95756,961,82.7,0.8,0.9,0.2,0.6,0.2,4.1,0.3,0.1,0.1,8.5,0.6,3.2,0.4,23.1,0.6,69.7,0.6,3.9,0.4,27.1,0.6,41.8,0.6,27.2,0.5,61058,1194,40.8,1.2,59.2,1.2,76.2,1.2,29.6,1.3,16.5,1.1,7.4,0.9,7.3,0.7,3.7,0.6,46.4,1.3,20.5,1.2,19.4,1.0,8.0,0.7,3.2,0.5,2.5,0.6,12.7,0.8,31.1,1.2,42.3,1.5,14.0,1.0,34698,1079,53.6,1.6,39.8,1.9,13.8,1.6,46.4,1.6,31.1,1.6,15.3,1.7,78041,1462,81910,2262,50833,13134,70208,27524,63333,9149,-,**,54827,2841,61929,19262,54327,1921,88710,2089,21615,7339,76681,3894,100877,3027,59375,3775,96327,3242,91054,4590,99800,3715,112154,3422,114809,5482,48236,2539,32174,4932,75478,10132,66500,15043,87873,4098,103837,5605,118413,10098,83310,11616,73553,21469,103200,30667,55053,4913,69315,3397,118256,5941,125647,5997,47352,3684,41937,2787,32419,2549,75078,6815,53782,3119,44488,5396,80621,9171,
Shasta,520.0,51778.0,439.0,0500000US06089,3382.0,329.0,22301.0,0.0,1300.0,2.0,2.0,70473,580,63957,678,705,134,1532,225,1465,139,37,44,988,248,1789,224,4986,295,60376,655,2488,259,18888,501,27174,434,21923,386,46145,852,16903,588,29242,710,34339,824,10826,544,8230,619,4161,423,3576,375,1916,277,25466,649,8846,613,6797,511,3338,323,1127,237,571,159,10593,545,16937,717,15531,642,3084,325,24328,795,12956,642,10751,559,2205,252,11372,555,8902,505,2470,329,70473,580,90.8,0.6,1.0,0.2,2.2,0.3,2.1,0.2,0.1,0.1,1.4,0.4,2.5,0.3,7.1,0.4,85.7,0.6,3.5,0.4,26.8,0.6,38.6,0.6,31.1,0.6,46145,852,36.6,1.1,63.4,1.1,74.4,1.3,23.5,1.1,17.8,1.3,9.0,0.9,7.7,0.8,4.2,0.6,55.2,1.1,19.2,1.2,14.7,1.1,7.2,0.7,2.4,0.5,1.2,0.3,23.0,1.2,36.7,1.3,33.7,1.2,6.7,0.7,24328,795,53.3,1.8,44.2,1.6,9.1,1.0,46.7,1.8,36.6,1.8,10.2,1.3,50905,1445,51338,1560,37399,4413,43790,10691,75655,15149,33194,19684,36974,11693,47943,9864,41423,4207,51834,1607,33920,5323,53606,3203,61192,2178,43485,1400,63205,1213,58395,4686,65279,2152,72942,1715,76869,3691,33444,3543,24099,3193,43031,6383,37588,7896,59430,2543,64322,4856,71016,4877,72833,11856,91771,22100,56964,30103,41134,2251,49723,2859,85096,2983,115035,6923,28151,1828,26152,1189,23095,2048,48083,10614,32072,2278,27587,2778,53375,5404,
Sierra,20.0,1048.0,6.0,0500000US06091,98.0,15.0,601.0,0.0,42.0,0.0,0.0,1241,141,1223,134,0,12,10,13,0,12,0,12,0,12,8,11,138,62,1085,120,4,6,139,72,510,102,588,77,720,118,129,52,591,92,563,98,71,37,88,48,24,21,69,54,34,40,546,92,81,50,51,35,35,26,7,9,0,12,214,84,199,72,271,91,36,27,521,114,258,82,242,85,16,18,263,88,249,84,14,16,1241,141,98.5,1.4,0.0,2.8,0.8,1.0,0.0,2.8,0.0,2.8,0.0,2.8,0.6,0.9,11.1,4.5,87.4,4.7,0.3,0.4,11.2,5.0,41.1,6.6,47.4,6.4,720,118,17.9,5.6,82.1,5.6,78.2,8.0,9.9,4.5,12.2,6.1,3.3,3.0,9.6,7.2,4.7,5.4,75.8,6.9,11.3,6.4,7.1,4.5,4.9,3.7,1.0,1.2,0.0,4.7,29.7,11.1,27.6,9.0,37.6,10.6,5.0,3.6,521,114,49.5,12.2,46.4,13.2,3.1,3.6,50.5,12.2,47.8,12.0,2.7,3.0,48125,7465,48661,7951,-,**,-,**,-,**,-,**,-,**,-,**,21667,14907,51192,9313,-,**,59531,48447,73000,41664,45297,6017,76875,15457,62321,55773,77422,19696,96518,23965,99063,28711,52500,41913,-,**,52639,27300,48426,5057,77981,28967,69125,66063,73750,47485,73125,28896,-,**,-,**,45678,5109,50391,7794,113438,30268,112656,27442,22679,12775,33889,19929,33889,23952,35000,17500,19198,3773,18937,2047,-,**,
Siskiyou,269.0,11341.0,104.0,0500000US06093,875.0,88.0,7234.0,0.0,575.0,1.0,5.0,19257,305,17092,278,240,74,697,100,156,41,20,10,243,81,809,115,1705,171,15854,278,697,139,4275,209,7363,236,6922,192,11671,438,3980,247,7691,327,8753,356,2564,188,1884,229,789,153,1034,192,627,160,7164,384,1904,230,1625,202,518,103,378,100,82,38,3172,263,3783,307,4018,289,698,151,7586,426,3892,294,3245,262,647,139,3694,279,2932,281,762,170,19257,305,88.8,0.8,1.2,0.4,3.6,0.5,0.8,0.2,0.1,0.1,1.3,0.4,4.2,0.6,8.9,0.8,82.3,1.1,3.6,0.7,22.2,1.0,38.2,1.0,35.9,1.1,11671,438,34.1,1.6,65.9,1.6,75.0,2.1,22.0,1.7,16.1,1.8,6.8,1.2,8.9,1.6,5.4,1.3,61.4,2.0,16.3,1.9,13.9,1.7,4.4,0.9,3.2,0.9,0.7,0.3,27.2,2.0,32.4,2.2,34.4,2.2,6.0,1.3,7586,426,51.3,2.5,42.8,2.7,8.5,1.7,48.7,2.5,38.7,2.9,10.0,2.2,44200,2158,46313,2300,-,**,30528,8358,40000,21776,180833,132649,33456,8039,32266,9112,34922,7125,46898,2280,26369,7391,50464,3744,51167,4387,38235,1777,53909,2115,49825,5614,55080,2134,65917,3314,70857,5932,26437,2203,19135,3582,34479,3039,33149,4545,51308,2219,55357,7019,59189,4022,60000,16805,57143,12032,43000,18005,37013,2873,44005,2931,77113,4433,81719,11982,26792,2151,26114,2369,23705,2056,47232,13442,27857,4421,24089,2609,54048,11289,
Solano,1437.0,51920.0,557.0,0500000US06095,6254.0,804.0,102360.0,0.0,2771.0,0.0,10.0,149067,608,88536,818,21905,517,722,169,19515,516,1326,187,9850,601,7213,552,28962,632,72000,839,3999,405,47440,771,61312,783,36316,570,107267,1200,44814,1004,62453,1006,75917,1131,29578,844,22060,863,10673,637,9290,804,4563,602,45037,1091,24854,1050,20382,813,9938,627,4383,470,2673,325,14325,655,35447,1065,41485,1094,16010,658,41800,1154,22319,917,18422,836,3897,464,19481,827,14425,836,5056,480,149067,608,59.4,0.5,14.7,0.3,0.5,0.1,13.1,0.3,0.9,0.1,6.6,0.4,4.8,0.4,19.4,0.4,48.3,0.5,2.7,0.3,31.8,0.5,41.1,0.5,24.4,0.4,107267,1200,41.8,0.8,58.2,0.8,70.8,1.0,27.6,0.7,20.6,0.7,9.9,0.6,8.7,0.7,4.3,0.6,42.0,0.9,23.2,0.9,19.0,0.7,9.3,0.6,4.1,0.4,2.5,0.3,13.4,0.6,33.0,0.9,38.7,0.9,14.9,0.6,41800,1154,53.4,1.6,44.1,1.5,9.3,1.1,46.6,1.6,34.5,1.6,12.1,1.2,77609,1309,81137,1798,58262,2932,60305,9114,94257,3794,74875,20397,66702,3178,74992,5722,68486,3419,83481,1750,40592,5387,78296,2299,93090,2441,58525,1827,88335,1773,78577,2244,95306,1873,103201,1422,100890,2372,47158,1828,35390,3331,68680,6179,55131,14324,77887,2249,89771,4461,99857,3384,95863,6765,94619,4886,102761,7621,48662,2625,62935,2003,105414,2439,129853,3267,48420,1949,40849,2301,35050,2263,74133,5011,54915,2738,50225,2183,81000,5465,
Sonoma,1835.0,51408.0,543.0,0500000US06097,8987.0,679.0,160435.0,2.0,7347.0,8.0,9.0,189339,918,156571,1312,2272,304,1685,273,6500,377,302,89,14965,860,7044,636,32517,691,142090,920,4002,374,52294,902,75373,916,57670,704,120415,1591,48137,1207,72278,1176,91217,1653,34290,1063,19071,799,9170,654,10127,713,4677,508,57997,1316,26067,1034,21813,962,9508,598,3087,377,1943,276,16347,693,36427,1095,51313,1423,16328,742,68924,1400,39654,1052,31941,981,7713,607,29270,862,20677,800,8593,633,189339,918,82.7,0.6,1.2,0.2,0.9,0.1,3.4,0.2,0.2,0.1,7.9,0.5,3.7,0.3,17.2,0.3,75.0,0.4,2.1,0.2,27.6,0.4,39.8,0.5,30.5,0.4,120415,1591,40.0,0.8,60.0,0.8,75.8,0.8,28.5,0.7,15.8,0.7,7.6,0.5,8.4,0.6,3.9,0.4,48.2,0.8,21.6,0.8,18.1,0.8,7.9,0.5,2.6,0.3,1.6,0.2,13.6,0.6,30.3,0.8,42.6,0.9,13.6,0.6,68924,1400,57.5,0.9,46.3,1.0,11.2,0.9,42.5,0.9,30.0,1.0,12.5,0.9,76753,1039,79705,1334,62656,12221,78304,15345,76200,7838,81479,7749,56476,3240,76986,5761,62419,2281,81239,1583,36796,3712,79507,1787,91735,2007,59414,1689,91937,1702,85125,2970,95327,1721,106699,1817,109213,3501,53275,2206,41476,5493,59811,4149,47832,6122,87899,2035,94685,4346,105013,4542,90271,6999,84349,6419,112433,22298,59511,3445,68761,3009,111892,2206,122138,6402,47768,1559,42424,1529,36060,1878,74698,5163,55241,2390,42487,1995,83359,4592,
Stanislaus,1184.0,78494.0,563.0,0500000US06099,6662.0,986.0,81647.0,0.0,2562.0,2.0,46.0,172682,777,137535,1322,5216,370,1554,220,8719,439,997,150,14095,851,4566,470,60920,906,92850,838,5519,458,61299,946,66450,779,39414,681,127767,1320,62209,1273,65558,1183,89860,1456,42188,1206,25840,917,14102,771,12067,846,5919,645,46342,1190,27691,1110,27133,945,15311,893,6850,603,4440,474,18680,739,45842,1274,46687,1406,16558,854,44915,1219,24108,826,20157,771,3951,385,20807,939,15267,750,5540,671,172682,777,79.6,0.6,3.0,0.2,0.9,0.1,5.0,0.3,0.6,0.1,8.2,0.5,2.6,0.3,35.3,0.5,53.8,0.5,3.2,0.3,35.5,0.5,38.5,0.4,22.8,0.4,127767,1320,48.7,0.8,51.3,0.8,70.3,0.9,33.0,0.9,20.2,0.7,11.0,0.6,9.4,0.7,4.6,0.5,36.3,0.8,21.7,0.8,21.2,0.7,12.0,0.7,5.4,0.5,3.5,0.4,14.6,0.5,35.9,0.9,36.5,1.0,13.0,0.7,44915,1219,53.7,1.4,44.9,1.4,8.8,0.8,46.3,1.4,34.0,1.5,12.3,1.4,57387,1316,58745,1513,44868,8062,42015,11074,68149,5667,64349,4675,50090,3057,53674,3855,50805,1520,63611,1445,32976,3255,61551,2047,68801,2457,42099,1599,63643,1548,56676,1985,69382,1652,77111,1697,74518,2353,33957,1714,26120,1819,51115,2823,41900,3546,58832,1549,59809,2694,69871,3404,70398,3556,68851,6514,75958,4509,30629,1804,47661,1602,83774,1727,103620,2862,34344,1683,28491,1865,25020,1898,49298,7238,43044,3721,35452,4303,65811,8157,
Sutter,120.0,18176.0,134.0,0500000US06101,1437.0,198.0,13076.0,0.0,382.0,0.0,0.0,32360,312,24662,410,705,140,331,87,3770,312,131,45,1218,236,1543,288,7722,317,18719,407,1091,184,10801,368,12388,340,8080,260,23697,504,11463,442,12234,527,17424,614,7824,387,3936,401,2358,317,2337,346,1281,294,9121,459,5225,428,4438,482,2504,336,1417,210,992,193,3526,336,8308,611,8785,612,3078,328,8663,463,4516,320,3991,316,525,128,4147,313,3022,293,1125,205,32360,312,76.2,1.1,2.2,0.4,1.0,0.3,11.7,0.9,0.4,0.1,3.8,0.7,4.8,0.9,23.9,0.9,57.8,1.2,3.4,0.6,33.4,1.0,38.3,1.1,25.0,0.8,23697,504,48.4,1.7,51.6,1.7,73.5,2.2,33.0,1.5,16.6,1.6,10.0,1.3,9.9,1.4,5.4,1.2,38.5,1.6,22.0,1.8,18.7,1.9,10.6,1.4,6.0,0.9,4.2,0.8,14.9,1.4,35.1,2.4,37.1,2.4,13.0,1.4,8663,463,52.1,2.5,46.1,2.6,6.1,1.5,47.9,2.5,34.9,2.9,13.0,2.2,56955,2206,57539,2846,59766,15848,47625,19863,57787,6809,95573,55400,54261,6114,50679,7831,43650,3278,64506,2252,31658,11125,56049,2330,70520,3033,46098,3235,63748,2086,57312,3224,70463,4482,73107,3182,70269,5601,34851,4446,29500,6950,53239,6723,47556,20668,63716,2870,61004,5118,63885,5172,59038,9592,69484,9548,87685,18550,31447,3891,52625,3925,77266,4812,97692,8800,36032,3198,29618,2766,26977,2691,56201,2380,42879,3972,36604,7235,65462,6800,
Tehama,139.0,15494.0,82.0,0500000US06103,953.0,138.0,6809.0,0.0,290.0,0.0,3.0,24025,435,21526,519,115,67,643,157,285,82,0,29,921,238,535,133,3926,246,18667,440,905,197,6997,346,8880,344,7243,323,16004,636,6580,398,9424,509,11500,637,4083,411,2836,353,1501,259,1668,301,996,256,8103,506,3006,398,2791,426,1352,266,425,144,327,126,3593,427,6073,522,5213,550,1125,231,8021,495,4013,448,3286,386,727,216,4008,302,3133,319,875,217,24025,435,89.6,1.2,0.5,0.3,2.7,0.7,1.2,0.3,0.0,0.1,3.8,1.0,2.2,0.6,16.3,0.9,77.7,1.3,3.8,0.8,29.1,1.3,37.0,1.4,30.1,1.2,16004,636,41.1,2.0,58.9,2.0,71.9,2.5,25.5,2.3,17.7,2.1,9.4,1.6,10.4,1.9,6.2,1.6,50.6,2.4,18.8,2.4,17.4,2.6,8.4,1.6,2.7,0.9,2.0,0.8,22.5,2.5,37.9,2.9,32.6,3.2,7.0,1.4,8021,495,50.0,3.6,41.0,3.5,9.1,2.5,50.0,3.6,39.1,3.9,10.9,2.7,42899,2347,43441,2350,-,**,31413,5112,-,**,-,**,42306,10274,35313,22658,40980,6483,44511,3135,24180,4613,44790,4648,51168,4632,38059,2903,52602,3709,44600,4020,58471,4020,62114,5726,59531,7652,27012,5308,22108,3666,42037,11320,29846,12745,50747,4390,53889,9978,64159,11725,52319,15611,34361,13926,51767,20392,31606,3329,42311,3404,75669,4948,100515,22327,24773,1887,24150,1685,22778,1987,44391,16653,26545,4096,22765,2994,42865,6330,
